field_id,name,latitude,longitude,year
5948,305634,20.4367,-101.1351,2020
5949,305637,20.5431,-101.4189,2020
5950,282149,20.3628,-101.5253,2020
5951,305635,20.4376,-101.1726,2020
5952,261984,20.4299,-101.1237,2020
5953,265863,20.4312,-101.3773,2020
5954,282153,20.3717,-101.5293,2020
5955,265862,20.397,-101.3331,2020
5956,305633,20.4308,-101.1069,2020
5957,306690,20.663,-101.2625,2020
5978,261998,20.6143,-101.4933,2020
5979,130028,20.2815,-101.1509,2020
5980,306748,20.5841,-101.5081,2020
5981,281676,20.538,-101.0894,2020
6003,306598,20.3559,-101.609,2020
6004,307213,20.3467,-101.5481,2020
6079,313558,20.428,-101.6262,2020
6006,272185,20.2545,-101.9069,2020
6007,307217,20.3561,-101.5572,2020
6008,307210,20.3586,-101.5783,2020
6009,59028,20.0401,-100.8174,2020
6010,307221,20.317,-100.8864,2020
6011,307222,20.3013,-100.8915,2020
6012,307220,20.2636,-100.9529,2020
6013,262388,20.4094,-101.6328,2020
6014,206593,20.4658,-101.6261,2020
6015,309326,20.3728,-101.6154,2020
6016,231627,20.4516,-101.6543,2020
6017,264074,20.391,-101.6753,2020
6018,266509,20.3188,-101.6392,2020
6019,223700,20.2174,-101.0822,2020
6002,307215,20.3181,-101.6254,2020
6021,307744,20.4278,-101.6547,2020
6001,306758,20.032,-100.7538,2020
5999,43203,20.0178,-100.7581,2020
5982,306745,20.5849,-101.5297,2020
5983,306753,20.5674,-100.63,2020
5984,304605,20.6364,-101.4871,2020
5985,306751,20.5345,-101.078,2020
5986,306750,20.5308,-101.5032,2020
5987,306752,20.2693,-100.8966,2020
5988,306755,20.5356,-101.049,2020
5989,306754,20.5494,-100.6431,2020
5990,262055,20.3843,-101.0667,2020
5991,281753,20.4102,-101.0877,2020
5992,306747,20.5845,-101.5099,2020
5993,266519,20.3625,-101.5701,2020
5994,307216,20.3541,-101.571,2020
5995,307208,20.3558,-101.5788,2020
5996,307214,20.3365,-101.5495,2020
5997,306756,20.3661,-101.5252,2020
5998,307212,20.3542,-101.5686,2020
6000,307211,20.3514,-101.556,2020
6080,313555,20.4354,-101.6486,2020
