Class,Overall Accuracy,IOU,F1-score
0,0.8561941189129967,0.7664158219557131,0.8677637648276549
1,0.9123293331726382,0.7803976435935199,0.8766554442505108
2,0.9050348269621017,0.762317233732936,0.8651305441962881
3,0.8941808534425972,0.7734419922426321,0.8722495527068971
4,0.9361344070318911,0.8560109880327097,0.9224201726737016
5,0.9368516833484987,0.8497012511141188,0.918744311387932
6,0.8491914359784742,0.694092627391268,0.8194270090887543
7,0.18517074469602593,0.149833022976654,0.2606170113096433
