Overall Accuracy,IOU,F1-score
0.9050903778395256,0.7361110463951391,0.8479999570575857
0.9377006207250608,0.7673646106741299,0.8683715924145752
0.02683360530378978,0.026185936573905468,0.05103546178255303
0.6268804644083396,0.4174917491749175,0.5890570430733411
0.0037018756169792696,0.0036573472041612483,0.007288039517369828
0.8719890448476549,0.78122661301206,0.8771782403262023
0.376529669822212,0.345296702133291,0.5133391044306288
0.425397238299625,0.3595126866355226,0.5288846366343706
0.324716770384554,0.23925695138439834,0.3861296902423983
0.015391454131244096,0.013466867616315815,0.026575841888132015
0.8523190236439004,0.646819771288158,0.7855380200860832
0.7417767220902612,0.6688713353095389,0.8015852644331961
0.9292360898255192,0.7253123758621935,0.8407896286024515
